\legend{Job,Strandvejen,Surveil,}
\addplot[mark=triangle, color=blue, thick] coordinates{ %job_m2_j2
(1, 0.351)
(2, 4.398)
(3, 20.253)
(4, 62.034)
(5, 158.156)
(6, 360.93)
(7, 5000)
(8, 5000)
(9, 5000)
(10, 5000)
(11, 5000)
(12, 5000)
(13, 5000)
(14, 5000)
(15, 5000)
(16, 5000)
(17, 5000)
(18, 5000)
(19, 5000)
(20, 5000)
};
\addplot[mark=square, color=red, thick] coordinates{ %strandvejen_f1_v1_c2
(1, 0.577)
(2, 3.27)
(3, 6.576)
(4, 10.998)
(5, 15.493)
(6, 20.58)
(7, 29.637)
(8, 37.172)
(9, 50.738)
(10, 56.859)
(11, 74.916)
(12, 82.694)
(13, 97.309)
(14, 110.465)
(15, 132.597)
(16, 149.098)
(17, 170.715)
(18, 185.619)
(19, 234.09)
(20, 229.98)
};
\addplot[mark=o, color=dgreen, thick] coordinates{ %surveil_a1_p2
(1, 0.049)
(2, 0.335)
(3, 1.051)
(4, 2.567)
(5, 5.955)
(6, 11.426)
(7, 18.983)
(8, 32.229)
(9, 65.812)
(10, 96.077)
(11, 143.6)
(12, 205.382)
(13, 339.06)
(14, 401.176)
(15, 561.738)
(16, 715.171)
(17, 947.941)
(18, 5000)
(19, 5000)
(20, 5000)
};
